                                   card_ranking  betweenness_centrality  card_copies_avg  norm_category_count_regional  norm_category_count_national  norm_category_count_international  norm_category_count_worlds  norm_category_count_others  norm_region_count_NA  norm_region_count_SA  norm_region_count_EU  norm_region_count_JP  norm_region_count_AS_OC
card_ranking                           1.000000                0.111574         0.027533                     -0.123815                      0.100373                          -0.083607                    0.162499                   -0.072774              0.145709             -0.068752              0.101782             -0.067450                 0.067212
betweenness_centrality                 0.111574                1.000000         0.106892                      0.168279                      0.425038                           0.351583                    0.664521                    0.343750              0.711361              0.315397              0.480448              0.345822                 0.471033
card_copies_avg                        0.027533                0.106892         1.000000                      0.035252                      0.127176                           0.103278                    0.178297                    0.071490              0.179355              0.088332              0.140994              0.087246                 0.121224
norm_category_count_regional          -0.123815                0.168279         0.035252                      1.000000                      0.411823                           0.513502                    0.304906                    0.585386              0.341604              0.537258              0.343334              0.489500                 0.328314
norm_category_count_national           0.100373                0.425038         0.127176                      0.411823                      1.000000                           0.320525                    0.648977                    0.210934              0.613491              0.286520              0.669484              0.374362                 0.553575
norm_category_count_international     -0.083607                0.351583         0.103278                      0.513502                      0.320525                           1.000000                    0.420759                    0.658117              0.545281              0.893232              0.590765              0.700063                 0.574320
norm_category_count_worlds             0.162499                0.664521         0.178297                      0.304906                      0.648977                           0.420759                    1.000000                    0.233000              0.904533              0.362979              0.624481              0.267610                 0.485271
norm_category_count_others            -0.072774                0.343750         0.071490                      0.585386                      0.210934                           0.658117                    0.233000                    1.000000              0.347123              0.592820              0.395530              0.822497                 0.509253
norm_region_count_NA                   0.145709                0.711361         0.179355                      0.341604                      0.613491                           0.545281                    0.904533                    0.347123              1.000000              0.485101              0.694574              0.365102                 0.582573
norm_region_count_SA                  -0.068752                0.315397         0.088332                      0.537258                      0.286520                           0.893232                    0.362979                    0.592820              0.485101              1.000000              0.507255              0.617937                 0.530876
norm_region_count_EU                   0.101782                0.480448         0.140994                      0.343334                      0.669484                           0.590765                    0.624481                    0.395530              0.694574              0.507255              1.000000              0.380805                 0.642277
norm_region_count_JP                  -0.067450                0.345822         0.087246                      0.489500                      0.374362                           0.700063                    0.267610                    0.822497              0.365102              0.617937              0.380805              1.000000                 0.516292
norm_region_count_AS_OC                0.067212                0.471033         0.121224                      0.328314                      0.553575                           0.574320                    0.485271                    0.509253              0.582573              0.530876              0.642277              0.516292                 1.000000
