                                    count      mean       std      min      25%       50%       75%       max
card_ranking                       3084.0  0.434856  0.187193  0.19585  0.30985  0.389871  0.501864  1.442695
betweenness_centrality             3084.0  0.010492  0.037001  0.00000  0.00000  0.000102  0.003273  0.466700
card_copies_avg                    3084.0  1.946032  0.999089  1.00000  1.00000  1.666667  2.730237  4.000000
norm_category_count_regional       3084.0  0.016185  0.074833  0.00000  0.00000  0.000000  0.000000  1.000000
norm_category_count_national       3084.0  0.052099  0.141318  0.00000  0.00000  0.000000  0.020833  1.000000
norm_category_count_international  3084.0  0.045586  0.117019  0.00000  0.00000  0.000000  0.030303  1.000000
norm_category_count_worlds         3084.0  0.079657  0.171793  0.00000  0.00000  0.000000  0.074391  1.000000
norm_category_count_others         3084.0  0.041945  0.107609  0.00000  0.00000  0.000000  0.027491  1.000000
norm_region_count_NA               3084.0  0.088091  0.169365  0.00000  0.00000  0.017857  0.098361  1.000000
norm_region_count_SA               3084.0  0.045515  0.127455  0.00000  0.00000  0.000000  0.019231  1.000000
norm_region_count_EU               3084.0  0.072504  0.165923  0.00000  0.00000  0.000000  0.058824  1.000000
norm_region_count_JP               3084.0  0.049628  0.124183  0.00000  0.00000  0.000000  0.034783  1.000000
norm_region_count_AS_OC            3084.0  0.077038  0.179969  0.00000  0.00000  0.000000  0.058824  1.000000
