                                   card_ranking  betweenness_centrality  card_copies_avg  norm_category_count_regional  norm_category_count_national  norm_category_count_international  norm_category_count_worlds  norm_category_count_others  norm_region_count_NA  norm_region_count_SA  norm_region_count_EU  norm_region_count_JP  norm_region_count_AS_OC
card_ranking                           1.000000                0.060879         0.007055                     -0.115893                      0.132405                          -0.071580                    0.118771                   -0.067305              0.104225             -0.051128              0.070258             -0.053852                 0.056270
betweenness_centrality                 0.060879                1.000000        -0.043777                      0.112294                      0.215135                           0.258301                    0.435619                    0.240992              0.466485              0.210504              0.274960              0.259477                 0.298606
card_copies_avg                        0.007055               -0.043777         1.000000                     -0.018730                      0.082511                           0.026403                    0.091533                   -0.018682              0.069325              0.006231              0.060481             -0.012595                 0.029278
norm_category_count_regional          -0.115893                0.112294        -0.018730                      1.000000                      0.268944                           0.510090                    0.263917                    0.619338              0.417846              0.609886              0.444117              0.475183                 0.432408
norm_category_count_national           0.132405                0.215135         0.082511                      0.268944                      1.000000                           0.214304                    0.560281                    0.196306              0.543893              0.174306              0.513478              0.316049                 0.393436
norm_category_count_international     -0.071580                0.258301         0.026403                      0.510090                      0.214304                           1.000000                    0.361782                    0.687401              0.507553              0.791417              0.623432              0.635090                 0.638894
norm_category_count_worlds             0.118771                0.435619         0.091533                      0.263917                      0.560281                           0.361782                    1.000000                    0.273259              0.767957              0.265661              0.499073              0.280544                 0.370807
norm_category_count_others            -0.067305                0.240992        -0.018682                      0.619338                      0.196306                           0.687401                    0.273259                    1.000000              0.421641              0.609080              0.519886              0.816826                 0.598081
norm_region_count_NA                   0.104225                0.466485         0.069325                      0.417846                      0.543893                           0.507553                    0.767957                    0.421641              1.000000              0.424895              0.589113              0.388579                 0.535121
norm_region_count_SA                  -0.051128                0.210504         0.006231                      0.609886                      0.174306                           0.791417                    0.265661                    0.609080              0.424895              1.000000              0.467316              0.574888                 0.603842
norm_region_count_EU                   0.070258                0.274960         0.060481                      0.444117                      0.513478                           0.623432                    0.499073                    0.519886              0.589113              0.467316              1.000000              0.426943                 0.564118
norm_region_count_JP                  -0.053852                0.259477        -0.012595                      0.475183                      0.316049                           0.635090                    0.280544                    0.816826              0.388579              0.574888              0.426943              1.000000                 0.572939
norm_region_count_AS_OC                0.056270                0.298606         0.029278                      0.432408                      0.393436                           0.638894                    0.370807                    0.598081              0.535121              0.603842              0.564118              0.572939                 1.000000
