                                    count      mean       std      min      25%       50%       75%       max
card_ranking                       1834.0  0.428763  0.195107  0.19585  0.30074  0.378923  0.488837  1.442695
betweenness_centrality             1834.0  0.014089  0.074944  0.00000  0.00000  0.000000  0.003339  2.193020
card_copies_avg                    1834.0  1.902928  1.005912  1.00000  1.00000  1.534299  2.666667  4.000000
norm_category_count_regional       1834.0  0.018976  0.085817  0.00000  0.00000  0.000000  0.000000  1.000000
norm_category_count_national       1834.0  0.057807  0.163967  0.00000  0.00000  0.000000  0.000000  1.000000
norm_category_count_international  1834.0  0.051672  0.129222  0.00000  0.00000  0.000000  0.034945  1.000000
norm_category_count_worlds         1834.0  0.074974  0.163165  0.00000  0.00000  0.000000  0.076923  1.000000
norm_category_count_others         1834.0  0.043761  0.112599  0.00000  0.00000  0.000000  0.029197  1.000000
norm_region_count_NA               1834.0  0.088335  0.165364  0.00000  0.00000  0.020408  0.100000  1.000000
norm_region_count_SA               1834.0  0.043213  0.127958  0.00000  0.00000  0.000000  0.015152  1.000000
norm_region_count_EU               1834.0  0.065598  0.156328  0.00000  0.00000  0.000000  0.060606  1.000000
norm_region_count_JP               1834.0  0.047942  0.124257  0.00000  0.00000  0.000000  0.030303  1.000000
norm_region_count_AS_OC            1834.0  0.065706  0.160846  0.00000  0.00000  0.000000  0.043478  1.000000
