                                   card_ranking  betweenness_centrality  card_copies_avg  norm_category_count_regional  norm_category_count_national  norm_category_count_international  norm_category_count_worlds  norm_category_count_others  norm_region_count_NA  norm_region_count_SA  norm_region_count_EU  norm_region_count_JP  norm_region_count_AS_OC
card_ranking                           1.000000                0.121549         0.056491                     -0.159268                      0.116904                          -0.124032                    0.197584                   -0.120998              0.180975             -0.112798              0.130806             -0.113058                 0.053932
betweenness_centrality                 0.121549                1.000000         0.154854                      0.121969                      0.325400                           0.291050                    0.546411                    0.275627              0.587616              0.269884              0.389100              0.278945                 0.394507
card_copies_avg                        0.056491                0.154854         1.000000                      0.067825                      0.160675                           0.163146                    0.251392                    0.130640              0.265155              0.145698              0.205944              0.154931                 0.187450
norm_category_count_regional          -0.159268                0.121969         0.067825                      1.000000                      0.425298                           0.515989                    0.313607                    0.601547              0.325506              0.526175              0.335792              0.497376                 0.313936
norm_category_count_national           0.116904                0.325400         0.160675                      0.425298                      1.000000                           0.295236                    0.679594                    0.178614              0.642745              0.276918              0.703438              0.334817                 0.570008
norm_category_count_international     -0.124032                0.291050         0.163146                      0.515989                      0.295236                           1.000000                    0.409057                    0.638619              0.527760              0.918355              0.561078              0.694988                 0.552933
norm_category_count_worlds             0.197584                0.546411         0.251392                      0.313607                      0.679594                           0.409057                    1.000000                    0.191796              0.919430              0.373057              0.660646              0.231710                 0.510592
norm_category_count_others            -0.120998                0.275627         0.130640                      0.601547                      0.178614                           0.638619                    0.191796                    1.000000              0.305758              0.595105              0.341644              0.816848                 0.474254
norm_region_count_NA                   0.180975                0.587616         0.265155                      0.325506                      0.642745                           0.527760                    0.919430                    0.305758              1.000000              0.486318              0.725261              0.328604                 0.597600
norm_region_count_SA                  -0.112798                0.269884         0.145698                      0.526175                      0.276918                           0.918355                    0.373057                    0.595105              0.486318              1.000000              0.508585              0.628098                 0.513145
norm_region_count_EU                   0.130806                0.389100         0.205944                      0.335792                      0.703438                           0.561078                    0.660646                    0.341644              0.725261              0.508585              1.000000              0.337592                 0.656102
norm_region_count_JP                  -0.113058                0.278945         0.154931                      0.497376                      0.334817                           0.694988                    0.231710                    0.816848              0.328604              0.628098              0.337592              1.000000                 0.489376
norm_region_count_AS_OC                0.053932                0.394507         0.187450                      0.313936                      0.570008                           0.552933                    0.510592                    0.474254              0.597600              0.513145              0.656102              0.489376                 1.000000
