                                    count      mean       std      min       25%       50%       75%       max
card_ranking                       1250.0  0.443796  0.174629  0.19585  0.327430  0.402430  0.513773  1.442695
betweenness_centrality             1250.0  0.010705  0.032875  0.00000  0.000000  0.001096  0.007852  0.651515
card_copies_avg                    1250.0  2.009274  0.985986  1.00000  1.069581  1.750000  2.768100  4.000000
norm_category_count_regional       1250.0  0.024785  0.102605  0.00000  0.000000  0.000000  0.000000  1.000000
norm_category_count_national       1250.0  0.089112  0.196138  0.00000  0.000000  0.000000  0.081368  1.000000
norm_category_count_international  1250.0  0.070139  0.158406  0.00000  0.000000  0.002985  0.056765  1.000000
norm_category_count_worlds         1250.0  0.128006  0.229923  0.00000  0.000000  0.000000  0.148148  1.000000
norm_category_count_others         1250.0  0.065818  0.145549  0.00000  0.000000  0.001718  0.056824  1.000000
norm_region_count_NA               1250.0  0.139998  0.225355  0.00000  0.000000  0.042254  0.166667  1.000000
norm_region_count_SA               1250.0  0.070039  0.168614  0.00000  0.000000  0.000000  0.036649  1.000000
norm_region_count_EU               1250.0  0.119566  0.223379  0.00000  0.000000  0.005263  0.117647  1.000000
norm_region_count_JP               1250.0  0.078728  0.166195  0.00000  0.000000  0.000000  0.078261  1.000000
norm_region_count_AS_OC            1250.0  0.125331  0.239705  0.00000  0.000000  0.007227  0.125000  1.000000
